category,item code,item,assigned sub group,UOM,SIZE,QTY,approver,with ATD and amount
uniform & PPEs,CM.CU.02.0019,"Uniform, Polo Chef Jacket Red -3XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0027,"Uniform, Polo Chef Jacket Red -4XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0042,"Uniform, Polo Chef Jacket Red -5XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0039,"Uniform, Polo Chef Jacket Red -6XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0016,"Uniform, Polo Chef Jacket Red -L",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0015,"Uniform, Polo Chef Jacket Red -M",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0014,"Uniform, Polo Chef Jacket Red -S",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0017,"Uniform, Polo Chef Jacket Red -XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0026,"Uniform, Production Black T-Shirt -3XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0044,"Uniform, Production Black T-Shirt -4XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0054,"Uniform, Production Black T-Shirt -5XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0045,"Uniform, Production Black T-Shirt -6XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0001,"Uniform, Production Black T-Shirt -L",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0002,"Uniform, Production Black T-Shirt -M",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0003,"Uniform, Production Black T-Shirt -S",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0004,"Uniform, Production Black T-Shirt -XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0007,"Uniform, Production Black T-Shirt -XXL",Facilities Management -laundry,pc,,,,
